id,GalaxyName,RA_hr,RA_min,RA_sec,Dec_deg,Dec_arcmin,Dec_arcsec,EB-V,m-M,m-M_err,vh(km/s),Vmag,Vmag_err,PA,e=1-b/a,muVo,rh('),rh_err_pos,rh_err_neg,vsig_s,vsig_err,vrot_s,vrot_s_err,MHI_mcconnachie,Data,Key,vsig_g,vsig_g_err,vrot_g,Notes,dist_kpc,MHI_computed,MHI_source,MHI_type,1sigma,notes/image/limit,mw_dist,m31_dist,r_ell,ell_surf_dist
13,ComaBerenices,12,26,59.0,23,54,15,0.017,18.2,0.2,98.1,14.1,0.5,115.0,0.38,27.3,6.0,0.6,0.6,4.6,0.8,0.0,0.0,,gs,u,0.0,0.0,0.0,"188+26s.mir stdev 0.04K so same limit of 0.02 Jy (towards edge, but looks clear, same with baseline but 0.2K source would be booming) 0.02*10*.236*44^2 = 100 Msun",43.65158322401656,,,upper_limit,0.0125446,ok for hi4pi value,44.8591876951668,798.2429702735473,480.10940524594173,-225.55682230328642
14,TucanaIV,0,2,55.2,-60,51,0,9.999,18.41,0.19,999.9,14.9,0.3,11.0,0.4,99.9,9.1,1.7,1.4,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,- not seeing anything for this one,48.08393484497285,163.69418714443208,hi4pi,upper_limit,0.01,no velocity,45.567704740700734,789.3892806591396,473.2319402809006,-225.27586004614594
15,BootesIII,13,57,12.0,26,48,0,0.021,18.35,0.1,197.5,12.6,0.5,90.0,0.5,31.3,99.99,9.99,9.99,14.0,3.2,99.9,99.9,99.9,x,u,99.9,99.9,999.9,212+26s.mir stdev 0.04K again so 0.02 Jy,46.77351412871986,17.091379999999997,galfa,upper_limit,0.0379234,"pull hi4pi value, missing rh - huge, prob part of styx stream (Carlin & Sand 2018), quote core limit",45.788988891523935,796.0456457642612,479.00435590163625,-224.55686573329479
16,GrusII,22,4,4.8,-46,26,24,9.999,18.62,0.21,999.9,14.7,0.2,999.9,9.99,99.9,6.0,0.9,0.5,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,- not seeing one,52.966344389165805,397.24940313396297,hi4pi,upper_limit,0.02,no velocity,48.36965635432141,784.2695078691785,470.3973270812926,-223.62637046967814
17,LMC,5,23,34.5,-69,45,22,0.9259999999999999,18.52,0.09,262.2,0.4,0.1,999.9,9.99,99.9,99.99,9.99,9.99,20.2,0.5,49.8,15.9,460.0,x,u,15.8,0.2,63.0,,50.58246620031137,460000000.0,various,detected_mass,,,50.21223151562807,806.377038985792,489.5553348157911,-221.0290717293506
18,TucanaV,23,37,24.0,-63,16,12,9.999,18.71,0.34,999.9,17.1,0.5,30.0,0.7,99.9,1.0,0.3,0.3,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,"- not seeing one, Conn et al. 2018 says chance could be grouping of stars assoc with SMC",55.20774392807573,388.42373747819016,hi4pi,upper_limit,0.018,no velocity,52.05265391508568,794.9159297243599,482.5329725791467,-218.3949727007147
19,Tucana2,22,51,55.1,-58,34,8,9.999,18.8,0.2,-129.0,15.0,0.1,107.0,0.39,99.9,9.83,1.66,1.11,8.5,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,"- Walker et al. 2016, v_hel= -129 km/s, disp ~ 8.5 km/s",57.54399373371572,2753.27315460962,hi4pi,upper_limit,0.11744,"josh method, needs fixing",53.72355915842535,792.3837319452169,481.70683911574764,-216.99620726627484
20,SagittariusII,19,52,40.5,-22,4,5,0.09699999999999999,19.13,0.15,999.9,13.9,0.4,72.0,0.23,99.9,2.0,0.4,0.3,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,"- not seeing anything,Laevens et al. 2015 discovery paper makes it sound like it could be a weird one again",66.98846094165259,635.4234721453141,hi4pi,upper_limit,0.02,no velocity,59.89860112013722,784.3329275575228,479.48126541536755,-212.6448956841388
21,SMC,0,52,44.8,-72,49,43,0.419,19.03,0.12,145.6,2.2,0.2,999.9,9.99,99.9,99.99,9.99,9.99,27.6,0.5,0.0,0.0,460.0,x,u,22.0,2.0,60.0,,63.97348354826482,460000000.0,various,detected_mass,,,61.33335457612916,805.607067992646,497.90329660484724,-209.19246954977248
22,Bootes(I),14,0,6.0,14,30,0,0.017,19.11,0.08,99.0,12.8,0.2,14.0,0.39,27.5,12.6,1.0,1.0,2.4,0.9,99.9,99.9,,gs,u,0.0,0.0,0.0,212+10s.mir (at edge)  stdev 0.08K (0.073-0.075),66.37430704019089,,,upper_limit,0.024946,"images missing, does have velocity",63.96114037127114,815.5810026974414,506.12710355736965,-208.07689823377862
23,Draco,17,20,12.4,57,54,55,0.027000000000000003,19.4,0.17,-291.0,10.6,0.2,89.0,0.31,25.0,10.0,0.3,0.3,9.1,1.2,0.0,0.0,0.0,x,u,0.0,0.0,0.0,,75.85775750291836,8617.974944100957,hi4pi,upper_limit,0.21153,"josh method, needs fixing",75.87964874634545,750.4493783402327,454.592063199005,-213.76840481578813
24,UrsaMinor,15,9,8.5,67,13,21,0.032,19.4,0.1,-246.9,10.6,0.5,53.0,0.56,26.0,8.2,1.2,1.2,9.5,1.2,0.0,0.0,0.0,x,u,0.0,0.0,0.0,,75.85775750291836,598.5852364615366,hi4pi,upper_limit,0.0146924,ok,77.80762889486152,753.8764924476371,461.54737198777696,-209.48934070505888
25,HorologiumII,3,16,32.1,-50,1,5,9.999,19.46,0.2,999.9,16.9,0.2,127.0,0.52,99.9,2.09,0.44,0.41,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,"- no seeing, Kim & Jerjen 2015 discovery paper",77.98301105232593,775.0072456295995,hi4pi,upper_limit,0.018,no velocity,79.05874934151106,792.6584399496238,505.53806834364315,-192.61924488891222
26,Horologium1,2,55,31.7,-54,7,8,9.999,19.5,0.2,113.0,16.1,0.1,999.9,9.99,99.9,1.31,0.19,0.14,5.0,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,"- Koposov et al. 2015 v_hel = 113 km/s, disp 5 km/s, D=79 kpc",79.43282347242814,764.3207540811753,hi4pi,upper_limit,0.0171097,ok,79.77741874913639,795.7437011036748,508.8178457270274,-191.43084178435427
27,Eridanus3,2,22,45.5,-52,17,1,9.999,19.7,0.2,999.9,17.7,0.3,83.0,0.27,99.9,0.54,0.5,0.1,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,"- not seeing, Conn et al. says maybe star cluster",87.09635899560806,1074.145846241324,hi4pi,upper_limit,0.02,no velocity,87.18903225680621,792.0960090281561,514.2317572930522,-184.9937849275569
28,Phoenix2,23,39,59.4,-54,24,22,9.999,19.6,0.2,999.9,16.8,0.2,164.0,0.47,99.9,1.09,0.26,0.16,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,- not seeing,83.17637711026715,832.6877565980333,hi4pi,upper_limit,0.017,no velocity,80.19925249755157,791.7685500550291,506.034986219991,-191.69842478627547
29,Sculptor,1,0,9.4,-33,42,33,0.018000000000000002,19.67,0.14,111.4,8.6,0.5,99.0,0.32,23.5,11.3,1.6,1.6,9.2,1.4,0.0,0.0,0.0,x,u,0.0,0.0,0.0,,85.90135215053961,,,upper_limit,0.0615595,I want to put this as an upper limit for the core.  MC had 0.22 in MHI column,86.11874901914616,759.3339028946015,478.40498467024474,-198.06950702235915
30,Sextans(I),10,13,3.0,-1,36,53,0.047,19.67,0.1,224.2,10.4,0.5,56.0,0.35,27.1,27.8,1.2,1.2,7.9,1.3,0.0,0.0,0.0,x,u,0.0,0.0,0.0,(too south for g),85.90135215053961,30163.37615055954,hi4pi,upper_limit,0.57736,"josh method, needs fixing",89.0716007155676,833.487105184919,539.809829346302,-184.81409655512766
31,ReticulumIII,3,45,26.4,-60,27,0,9.999,19.81,0.31,999.9,16.5,0.3,999.9,9.99,99.9,2.4,0.9,0.8,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,- not seeing,91.62204901219992,1010.3740397747455,hi4pi,upper_limit,0.017,no velocity,91.72257344118749,811.4254646497477,533.3235097767289,-178.6234941756785
32,Indus1,21,8,49.1,-51,9,56,9.999,20.0,0.2,999.9,16.5,0.2,999.9,9.99,99.9,1.26,0.45,0.27,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,-,100.0,1416.0000000000002,hi4pi,upper_limit,0.02,no velocity,94.1608967333548,807.7773422819871,534.1039947129871,-176.3105895411082
33,UrsaMajor(I),10,34,52.8,51,55,12,0.02,19.93,0.1,-55.3,14.4,0.3,71.0,0.8,27.7,11.3,1.7,1.7,7.6,1.0,99.9,99.9,0.0,x,u,0.0,0.0,0.0,,96.82778562612486,74927.06415228693,hi4pi,upper_limit,1.12877,"josh method, needs fixing",101.58851861732727,772.8009981396225,513.8101152754059,-177.21760027754368
34,Grus1,22,56,42.4,-50,9,48,9.999,20.4,0.2,-141.0,17.0,0.3,4.0,0.41,99.9,1.77,0.85,0.39,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,Walker et al. (2016) v_hel = -140.5 km/s,120.22644346174131,2165.8529076975533,hi4pi,upper_limit,0.0211639,ok,116.39050010072206,796.5269213481645,556.150528383162,-156.49620945756598
35,Pictoris1,4,43,47.4,-50,16,59,9.999,20.3,0.2,999.9,17.2,0.3,78.0,0.47,99.9,0.88,0.27,0.13,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,- not seeing,114.8153621496884,1866.6515417958767,hi4pi,upper_limit,0.02,no velocity,116.56516101783973,816.6471721683197,569.4035202738263,-153.8658282334326
36,Carina,6,41,36.7,-50,57,58,0.061,20.11,0.13,222.9,11.0,0.5,65.0,0.33,25.5,8.2,1.2,1.2,6.6,1.2,0.0,0.0,0.0,x,u,0.0,0.0,0.0,,105.19618738232236,1127.8098307322118,hi4pi,upper_limit,0.0143947,ok,107.09497988727752,836.1454815567728,563.8246754437846,-165.167732670025
37,Hercules,16,31,2.0,12,47,30,0.063,20.6,0.2,45.2,14.0,0.3,102.0,0.68,27.2,8.6,1.8,1.1,3.7,0.9,99.9,99.9,,gs,u,0.0,0.0,0.0,244+10s  stdev 0.08K,131.82567385564076,,,upper_limit,0.0124405,"images missing, does have velocity",126.14185153034269,822.2244501894286,586.4320836312901,-144.23108325673095
38,HydraII,12,21,42.1,-31,59,7,0.053,20.64,0.16,303.1,15.8,0.3,28.0,0.01,99.9,1.7,0.3,0.2,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,,134.2764961137864,2558.6132897298457,hi4pi,upper_limit,0.0200434,ok,131.50957037658077,910.7568900760974,586.1375784466628,-198.51801157311203
39,Fornax,2,39,59.3,-34,26,57,0.021,20.84,0.18,55.3,7.4,0.3,41.0,0.3,23.3,16.6,1.2,1.2,11.7,0.9,0.0,0.0,0.0,x,u,0.0,0.0,0.0,,147.23125024327194,,,upper_limit,0.0248619,"keep as limit at core, MC had 0.17",149.40381092937437,766.0602826549687,579.7241257513037,-135.5307049474825
40,LeoIV,11,32,57.0,0,32,0,0.026000000000000002,20.94,0.09,132.3,15.1,0.4,121.0,0.49,27.5,4.6,0.8,0.8,3.3,1.7,99.9,99.9,,gs,u,0.0,0.0,0.0,172+2  stdev 0.095K noisier region getting into galactic,154.17004529495617,,,upper_limit,0.018579,"images missing, does have velocity",154.83079082375554,895.1866270605733,637.5418701615795,-130.97520054573698
41,CanesVenaticiII,12,57,10.0,34,19,15,0.01,21.02,0.06,-128.9,16.1,0.5,177.0,0.52,26.1,1.6,0.3,0.3,4.6,1.0,99.9,99.9,0.0,x,u,0.0,0.0,0.0,196+34 stdev 0.076K,159.9558028614668,474.21009000000004,hi4pi,upper_limit,0.01308899,"images missing, does have velocity",160.59157403189548,833.1509980872378,648.0793633860776,-109.87122840437104
42,LeoV,11,31,9.6,2,13,12,0.027000000000000003,21.25,0.12,173.3,16.0,0.4,96.0,0.5,27.1,2.6,0.6,0.6,3.7,2.3,99.9,99.9,0.0,x,u,0.0,0.0,0.0,172+2 stdev 0.08K rounding up,177.82794100389228,28.00471,hi4pi,upper_limit,0.020724623,ok,178.63304256849773,910.7161415068299,677.3101434859701,-107.46800903114902
