,GalaxyName,RA_hr,RA_min,RA_sec,Dec_hr,Dec_arcmin,Dec_arcsec,EB-V,m-M,m-M_err_pos,m-M_err_neg,vh(km/s),Vmag,Vmag_err_pos,Vmag_err_neg,PA,e=1-b/a,muVo,rh('),rh_err_pos,rh_err_neg,vsig_s,vsig_err_pos,vsig_err_neg,vrot_s,vrot_s_err_pos,vrot_s_err_neg,MHI,Data,Key,vsig_g,vsig_g_err_pos,vsig_g_err_neg,vrot_g,note,M-m,Notes,ra,dec,dist_pc,dist_kpc,dist_mpc,MHI_computed,MHI_source,MHI_type,1sigma,rh_subtable,MHI_method,npix,GUU,GRU,HUU,GNV,HNV,LIT,HRU
10,BootesII,13.0,58.0,0.0,12.0,51.0,0.0,0.031,18.1,0.06,0.06,-117.0,15.4,0.9,0.9,145.0,0.21,28.1,4.2,1.4,1.4,10.5,7.4,7.4,99.9,99.9,99.9,2.26,gs,u,0.0,0.0,0.0,0.0,,18.1,212+10s.mir stdev 0.08K (rounded up),,,41686.938347033545,41.686938347033546,0.04168693834703355,182.12243050936553,galfa,upper_limit,0.020184999999999998,,galfa_resolved_undetected,,,182.12243050936553,,,,,
11,SegueII,2.0,19.0,16.0,20.0,10.0,31.0,0.185,17.7,0.1,0.1,-39.2,15.2,0.3,0.3,182.0,0.15,27.4,3.4,0.2,0.2,3.4,2.5,1.2,99.9,99.9,99.9,2.09,gs,u,99.9,99.9,99.9,999.9,,17.7,"36+18s.mir stdev 0.07K, could get lower with a USM here, get 0.18K in unsmoothed so I think would have expected 0.05K with factor above",,,34673.685045253165,34.673685045253166,0.034673685045253165,121.80320845868428,galfa,upper_limit,0.019513,,galfa_resolved_undetected,,,121.80320845868428,,,,,
12,Willman1,10.0,49.0,21.0,51.0,3.0,0.0,0.013999999999999999,17.9,0.4,0.4,-12.3,15.2,0.7,0.7,77.0,0.47,26.1,2.3,0.4,0.4,4.3,2.3,1.3,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,,17.9,,,,38018.939632056085,38.01893963205608,0.03801893963205608,198.28331740886063,hi4pi,upper_limit,0.0193755,2.3,hi4pi_unresolved_undetected,,,,198.28331740886063,,,,
13,ComaBerenices,12.0,26.0,59.0,23.0,54.0,15.0,0.017,18.2,0.2,0.2,98.1,14.1,0.5,0.5,115.0,0.38,27.3,6.0,0.6,0.6,4.6,0.8,0.8,0.0,0.0,0.0,2.06,gs,u,0.0,0.0,0.0,0.0,,18.2,"188+26s.mir stdev 0.04K so same limit of 0.02 Jy (towards edge, but looks clear, same with baseline but 0.2K source would be booming) 0.02*10*.236*44^2 = 100 Msun",,,43651.58322401656,43.65158322401656,0.04365158322401656,113.89985952476903,galfa,upper_limit,0.0125446,6.0,galfa_resolved_undetected,,,113.89985952476903,169.23495705973693,,,,
14,TucanaIV,0.0,2.0,55.2,-60.0,51.0,0.0,9.999,18.41,0.19,0.19,999.9,14.9,0.3,0.3,11.0,0.4,99.9,9.1,1.7,1.4,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,18.41,- not seeing anything for this one,,,48083.93484497285,48.08393484497285,0.04808393484497285,163.69418714443208,hi4pi,upper_limit,0.01,9.1,hi4pi_no_velocity,,,,,,163.69418714443208,,
15,BootesIII,13.0,57.0,12.0,26.0,48.0,0.0,0.021,18.35,0.1,0.1,197.5,12.6,0.5,0.5,90.0,0.5,31.3,99.99,9.99,9.99,14.0,3.2,3.2,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,18.35,212+26s.mir stdev 0.04K again so 0.02 Jy,,,46773.51412871986,46.77351412871986,0.046773514128719856,,,,,99.99,,,,,,,,,
16,GrusII,22.0,4.0,4.8,-46.0,26.0,24.0,9.999,18.62,0.21,0.21,999.9,14.7,0.2,0.2,999.9,9.99,99.9,6.0,0.9,0.5,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,18.62,- not seeing one,,,52966.3443891658,52.966344389165805,0.0529663443891658,397.24940313396297,hi4pi,upper_limit,0.02,6.0,hi4pi_no_velocity,,,,,,397.24940313396297,,
17,LMC,5.0,23.0,34.5,-69.0,45.0,22.0,0.9259999999999999,18.52,0.09,0.09,262.2,0.4,0.1,0.1,999.9,9.99,99.9,99.99,9.99,9.99,20.2,0.5,0.5,49.8,15.9,15.9,460.0,x,u,15.8,0.2,0.2,63.0,,18.52,,,,50582.46620031137,50.58246620031137,0.05058246620031137,460000000.0,literature,detected_mass,,,literature,,,,,,,460000000.0,
18,TucanaV,23.0,37.0,24.0,-63.0,16.0,12.0,9.999,18.71,0.34,0.34,999.9,17.1,0.5,0.5,30.0,0.7,99.9,1.0,0.3,0.3,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,18.71,"- not seeing one, Conn et al. 2018 says chance could be grouping of stars assoc with SMC",,,55207.74392807573,55.20774392807573,0.05520774392807573,388.42373747819016,hi4pi,upper_limit,0.018000000000000002,1.0,hi4pi_no_velocity,,,,,,388.42373747819016,,
19,Tucana2,22.0,51.0,55.1,-58.0,34.0,8.0,9.999,18.8,0.2,0.2,-129.0,15.0,0.1,0.1,107.0,0.39,99.9,9.83,1.66,1.11,8.5,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,18.8,"- Walker et al. 2016, v_hel= -129 km/s, disp ~ 8.5 km/s",,,57543.993733715724,57.54399373371572,0.05754399373371572,211.79024266227847,hi4pi,upper_limit,0.11744,2.7,hi4pi_resolved_undetected,13.0,,,,,,,211.79024266227847
