GalaxyName  PA  ERPA+  ERPA-  e=1-b/a  ere+  ere-  rh(arcmins)  errh+  errh-  MHI  RA  DEC  vh(m/s)
AndromedaXX        80    20    20    0.3   0.15  0.15    0.53   0.14   0.04   99.9     1.875    35.1322  -456200
AndromedaXIII     999.9  99.9  99.9  9.99  9.99  9.99    0.78   0.08   0.08    0      12.9625   33.0044  -185400
AndromedaX         46     5     5    0.44  0.06  0.06    1.3    0.1    0.1     0      16.6375   44.8044  -164100
AndromedaXXI      110    15    15    0.2   0.07  0.07    3.5    0.3    0.3    99.9   358.696    42.4708  -362500
AndXXXII          -90     7     7    0.5   0.09  0.09    6.5    1.2    1      99.9     8.9958   51.5597   999900
NGC147             25     3     3    0.41  0.02  0.02    3.17   9.99   9.99    0       8.3      48.5089  -193100
AndXXX            999.9  99.9  99.9  9.99  9.99  9.99    1.35   0.12   0.18   99.9     9.1417   49.6467  -139800
AndromedaXIV      999.9  99.9  99.9  0.31  0.09  0.09    1.7    0.8    0.8     0      12.8958   29.6969  -480600
AndromedaXII      999.9  99.9  99.9  9.99  9.99  9.99    1.2    0.2    0.2     0      11.8625   34.3747  -558400
AndromedaXV         0    99.9  99.9  0     9.99  9.99    1.21   0.05   0.05    0      18.575    38.1175  -323000
AndromedaII        34     6     6    0.2   0.08  0.08    6.2    0.2    0.2     0      19.1208   33.4192  -192400
NGC185             35     3     3    0.15  0.01  0.01    2.55   9.99   9.99    0.11    9.7417   48.3375  -203800
AndromedaXXIX      51     8     8    0.35  0.06  0.06    1.7    0.2    0.2    99.9   359.729    30.7556  -194400
AndromedaXXIV       5    10    10    0.25  0.05  0.05    2.1    0.1    0.1    99.9    19.625    46.3661  -128200
AndromedaVII       94     8     8    0.13  0.04  0.04    3.5    0.1    0.1     0     351.629    50.6758  -307200
IC10              999.9  99.9  99.9  0.19  0.02  0.02    2.65   9.99   9.99   50       5.0708   59.3039  -348000
AndXXXI           -59     6     6    0.43  0.07  0.07    4.2    0.4    0.5    99.9   344.567    41.2911   999900
LGS3                0    99.9  99.9  0.2   9.99  9.99    2.1    0.2    0.2     0.38   15.9792   21.885   -286500
AndromedaVI       163     3     3    0.41  0.03  0.03    2.3    0.2    0.2     0     357.942    24.5825  -339800
AndromedaXXII     114    15    15    0.56  0.11  0.11    0.94   0.1    0.1    99.9    21.9167   28.0903  -129800
AndromedaXVI        0    99.9  99.9  0     9.99  9.99    0.89   0.05   0.05    0      14.8708   32.3767  -367300
AndromedaXXVIII    39    16    16    0.34  0.13  0.13    1.11   0.21   0.21   99.9   338.171    31.2161  -326200
AndXXXIII          -6    15    10    0.43  0.15  0.17    1.7    0.4    0.4    99.9    45.3458   40.9883   999900
IC1613             50     2     2    0.11  0.03  0.03    6.81   9.99   9.99   65      16.1958    2.1178  -231600
Phoenix             5     1     1    0.4   0.1   0.1     3.76   9.99   9.99    0.12   27.775   -44.4447   -13000
Eridanus2          81     6     6    0.4   0.06  0.08    1.53   0.14   0.09   99.9    56.0875  -43.5333   999900
NGC6822           330    10    10    0.24  0.05  0.05    2.65   9.99   9.99  130     296.233   -14.7892   -54500
Cetus              63     3     3    0.33  0.06  0.06    3.2    0.1    0.1     0       6.5458  -11.0444   -83900
PegasusdIrr       120     2     2    0.46  0.02  0.02    2.1    0.04   0.04    5.9   352.15     14.7431  -179500
LeoT                0    99.9  99.9  0     9.99  9.99    0.99   0.06   0.06    0.28  143.721    17.0514    38100
WLM               179     2     2    0.55  0.05  0.1     8.62   0.26   0.26   61       0.4917  -15.4608  -130000
AndromedaXVIII    999.9  99.9  99.9  9.99  9.99  9.99    0.92   0.06   0.06   99.9     0.5583   45.0889  -332100
LeoA              114     5     5    0.4   0.03  0.03    2.15   9.99   9.99   11     149.858    30.7464    24000
Aquarius           98.7   1     1    0.5   0.1   0.1     1.47   0.04   0.04    4.1   311.712   -12.8481  -137700
Tucana             97     2     2    0.48  0.03  0.03    1.1    0.2    0.2     0     340.454   -64.4194   194000
SagittariusdIrr    90    99.9  99.9  0.5   9.99  9.99    0.91   0.05   0.05    8.8   292.496   -17.6808   -78500
UGC4879            84.2  10.5  10.5  0.44  0.04  0.04    0.41   0.04   0.04    0.95  139.008    52.84     -29200
AntliaB             4    12    12    0.3   0.05  0.05    0.72   0.07   0.07    0.28  147.233   -25.99     376000
NGC3109            91.5   1     1    0.82  0.01  0.01    4.3    0.1    0.1   450     150.775   -26.1597   403000
SextansB          110     2     2    0.31  0.03  0.03    1.06   0.1    0.1    51     150         5.3322   304000
Antlia            135     5     5    0.4   0.04  0.04    1.2    0.12   0.12    0.73  151.017   -27.3311   362000
SextansA            0     1     1    0.17  0.02  0.02    2.47   9.99   9.99   77     152.75     -4.6928   324000
HIZSS3(A)         999.9  99.9  99.9  9.99  9.99  9.99   99.99   9.99   9.99   14     105.121    -4.2083   288000
HIZSS3B           999.9  99.9  99.9  9.99  9.99  9.99   99.99   9.99   9.99    2.6   105.121    -4.2083   322600
LeoP              999.9  99.9  99.9  9.99  9.99  9.99   99.99   9.99   9.99    0.94  155.438    18.0881   264000
ESO410-G005        57    99.9  99.9  0.37  9.99  9.99    0.5    0.05   0.05    0.73    3.8792  -32.18     999900
KKR25             999.9  99.9  99.9  0.49  0.03  0.03    0.47   0.03   0.03   99.9   243.45     54.3711   -65000
ESO294-G010         8    99.9  99.9  0.51  9.99  9.99    0.42   0.04   0.04    0.34    6.6375  -41.8553   117000
IC5152            100     2     2    0.38  0.02  0.02    0.97   9.99   9.99   87     330.671   -51.2964   122000
KKH98             175     1     1    0.41  0.01  0.01    0.64   0.06   0.06    6.6   356.392    38.7178  -136900
UKS2323-326       120     4     4    0.1   0.01  0.01    0.9    0.1    0.1    17     351.613   -32.3889    62000
KK258             999.9  99.9  99.9  0.5   9.99  9.99    9.99   9.99   9.99   99.9   340.179   -30.7997    92000
KKR3                0     1     1    0.05  0.01  0.01    0.36   0.04   0.04    2.5   211.792    35.0603    63300
KKs3              999.9  99.9  99.9  0.6   9.99  9.99    0.57   0.06   0.06   99.9    36.1833  -73.5142   316000
GR8                61     2     2    0.2   0.05  0.05    0.32   0.04   0.04   11     194.667    14.2175   213900
UGC9128            46     2     2    0.4   0.05  0.05    0.64   0.07   0.07   18     213.983    23.0553   152000
UGC8508           120     2     2    0.45  0.05  0.05    0.42   0.04   0.04   29     202.683    54.91      56000
IC3104             45     2     2    0.52  0.02  0.02    2.01   9.99   9.99   13     184.692   -79.7261   429000
DDO125            112     4     4    0.41  0.01  0.01    1.04   0.1    0.1    35     186.917    43.4956   194900
UGCA86             25     1     1    0.32  0.03  0.03    0.94   9.99   9.99  860      59.95     67.1386    67000
DDO99              70     4     4    0.29  0.01  0.01    0.9    0.09   0.09   52     177.721    38.8803   251000
IC4662            111     4     4    0.27  0.01  0.01    0.48   0.05   0.05  180     266.783   -64.6417   302000
DDO190             82     5     5    0.1   0.02  0.02    0.64   0.06   0.06   43     216.179    44.5258   150000
KKH86             177     1     1    0.39  0.01  0.01    0.28   0.03   0.03    0.88  208.637     4.2431   287200
NGC4163            11     2     2    0.3   0.05  0.05    0.45   0.05   0.05    7.9   183.037    36.1692   165000
DDO113            999.9  99.9  99.9  0     0.09  0.09    0.7    0.07   0.07   48     183.738    36.2189   284000
