,GalaxyName,RA_hr,RA_min,RA_sec,Dec_deg,Dec_arcmin,Dec_arcsec,EB-V,m-M,m-M_err_pos,m-M_err_neg,vh(km/s),Vmag,Vmag_err_pos,Vmag_err_neg,PA,e=1-b/a,muVo,rh('),rh_err_pos,rh_err_neg,vsig_s,vsig_err_pos,vsig_err_neg,vrot_s,vrot_s_err_pos,vrot_s_err_neg,MHI,Data,Key,vsig_g,vsig_g_err_pos,vsig_g_err_neg,vrot_g,note,M-m,Notes,ra,dec,M_V,dist_kpc,M_dyn,M_*,vh_(km/s)_err,vsig_s_upper_limit,vsig_s_err,vh(km/s)_err,orb_pericenter,orb_apocenter,orb_eccentricity,orb_period,orb_period_type,orb_pericenter_0.8,orb_apocenter_0.8,orb_eccentricity_0.8,tau_50,tau_90,dist_pc,dist_mpc,Radius,gal_interference_min,gal_interference_max,Galactic Interference Range,MHI_computed,MHI_source,MHI_type,1sigma,rh_subtable,MHI_method,npix,GUU,GRU,HUU,HRU,GNV,HNV,LIT,1sigma_GUU,1sigma_GRU,1sigma_HUU,1sigma_HRU,1sigma_GNV,1sigma_HNV,M_star,M_dyn_r_h,Other names,Morphology,vsig_s_ref,vsig_err_pos_ref,vsig_err_neg_ref,M_V_ref,rh(')_ref,vh(km/s)_ref,refs,r_ell_x,ell_surf_dist_x,mw_dist_x,m31_dist_x,ell_surf_log10_abs,min_dist_mw_or_m31,Closer_MW_M31,r_ell_y,ell_surf_dist_y,mw_dist_y,m31_dist_y,mw_dist_x,m31_dist_x,r_ell_x,ell_surf_dist_x,r_ell_y,ell_surf_dist_y,mw_dist_y,m31_dist_y,r_ell,ell_surf_dist,mw_dist,m31_dist
10,Willman1,10.0,49.0,21.0,51.0,3.0,0.0,0.013999999999999999,17.9,0.4,0.4,75.6,15.2,0.7,0.7,77.0,0.47,26.1,246.0,0.4,0.4,6.9,1.2,-0.9,99.9,99.9,99.9,0.0,x,u,00.0,0.0,0.0,0.0,,17.9,,,,-7.1,38.01893963205608,,,,,,,44.0,53.0,0.19,1.2,value,,,,,,38018.939632056085,0.03801893963205608,25.436276970032434,,,,3684.136887677212,HI4PI,upper_limit,0.36,,hi4pi_unresolved_undetected,,,,3684.136887677212,,,,,,,0.36,,,,0.0010,0.27,SDSS J1049+5103,dSph,True,,,True,True,True,,478.3329483056593,-194.0092537705053,42.73609097450467,776.2304984992603,,,,478.3329483056593,-194.0092537705053,42.73609097450467,776.2304984992603,42.73609097450467,776.2304984992603,478.3329483056593,-194.0092537705053,478.3329483056593,-194.0092537705053,42.73609097450467,776.2304984992603,478.3329483056593,-194.0092537705053,42.73609097450467,776.2304984992603
11,ComaBerenices,12.0,26.0,59.0,23.0,54.0,15.0,0.017,18.2,0.2,0.2,98.1,14.1,0.5,0.5,115.0,0.38,27.3,64.0,0.6,0.6,4.6,0.8,0.8,0.0,0.0,0.0,2.06,gs,u,00.0,0.0,0.0,0.0,,18.2,"188+26s.mir stdev 0.04K so same limit of 0.02 Jy (towards edge, but looks clear, same with baseline but 0.2K source would be booming) 0.02*10*.236*44^2 = 100 Msun",,,-3.3,43.65158322401656,,,,,,,43.0,242.0,0.7,3.7,value,,,,,,43651.58322401656,0.04365158322401656,76.18631353184477,,,,113.89985952476903,GALFA-HI,upper_limit,0.011512999999999999,6.0,galfa_resolved_undetected,,,113.89985952476903,169.23495705973693,,,,,,0.011512999999999999,0.0125446,,,,0.0037,0.94,,dSph,True,,,True,True,True,,500.1054715505216,-185.32286806141568,44.817504957731046,798.242970273547,,,,500.1054715505216,-185.32286806141568,44.817504957731046,798.242970273547,44.817504957731046,798.242970273547,500.1054715505216,-185.32286806141568,500.1054715505216,-185.32286806141568,44.817504957731046,798.242970273547,500.1054715505216,-185.32286806141568,44.817504957731046,798.242970273547
12,TucanaIV,0.0,2.0,55.2,-60.0,51.0,0.0,9.999,18.41,0.19,0.19,999.9,14.9,0.3,0.3,11.0,0.4,99.9,32.0,1.7,1.4,4.3,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,18.41,- not seeing anything for this one,,,-3.67,48.08393484497285,,,,,,,,,,,,,,,,,48083.93484497285,0.04808393484497285,127.2820324599674,-180.0,180.0,,163.69418714443208,HI4PI,upper_limit,0.01,9.1,hi4pi_no_velocity,,,,,,,163.69418714443208,,,,,,,0.01,,,,,True,,,True,True,True,,492.853230244452,-186.17079426209477,45.607276593654184,789.3892806591394,,,,492.853230244452,-186.17079426209477,45.607276593654184,789.3892806591394,45.607276593654184,789.3892806591394,492.853230244452,-186.17079426209477,492.853230244452,-186.17079426209477,45.607276593654184,789.3892806591394,492.853230244452,-186.17079426209477,45.607276593654184,789.3892806591394
13,BootesIII,13.0,57.0,12.0,26.0,48.0,0.0,0.021,18.35,0.1,0.1,197.5,12.6,0.5,0.5,90.0,0.5,31.3,117.0,9.99,9.99,10.7,3.2,3.2,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,18.35,212+26s.mir stdev 0.04K again so 0.02 Jy,,,-4.2,46.77351412871986,,,,,,,,,,,,,,,,,46773.51412871986,0.046773514128719856,1360.449037228041,,,,107.58404815410168,GALFA-HI,upper_limit,0.0379234,99.99,galfa_unresolved_undetected,,107.58404815410168,,,,,,,0.0379234,,,,,,0.017,---,,dSph?,True,,,True,True,True,,498.7941540405845,-184.6298516633081,45.79454273713892,796.0456457642613,,,,498.7941540405845,-184.6298516633081,45.79454273713892,796.0456457642613,45.79454273713892,796.0456457642613,498.7941540405845,-184.6298516633081,498.7941540405845,-184.6298516633081,45.79454273713892,796.0456457642613,498.7941540405845,-184.6298516633081,45.79454273713892,796.0456457642613
14,GrusII,22.0,4.0,4.8,-46.0,26.0,24.0,9.999,18.62,0.21,0.21,222.9,14.7,0.2,0.2,999.9,9.99,99.9,311.0,0.9,0.5,6.6,1.2,-1.2,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,18.62,- not seeing one,,,-9.45,52.966344389165805,,,,1.9,,,,,,,,,,,,,52966.3443891658,0.0529663443891658,92.44362339756958,-10.0,170.0,,397.24940313396297,HI4PI,upper_limit,0.02,6.0,hi4pi_no_velocity,,,,,,,397.24940313396297,,,,,,,0.02,,,,,True,,,True,True,True,,489.5647439021628,-185.21729141831275,48.45789512239038,784.2695078691785,,,,489.5647439021628,-185.21729141831275,48.45789512239038,784.2695078691785,48.45789512239038,784.2695078691785,489.5647439021628,-185.21729141831275,489.5647439021628,-185.21729141831275,48.45789512239038,784.2695078691785,489.5647439021628,-185.21729141831275,48.45789512239038,784.2695078691785
15,LMC,5.0,23.0,34.5,-69.0,45.0,22.0,0.9259999999999999,18.52,0.09,0.09,262.2,0.4,0.1,0.1,999.9,9.99,99.9,47.0,9.99,9.99,20.2,0.5,0.5,49.8,15.9,15.9,460.0,x,u,15.8,0.2,0.2,63.0,,18.52,,,,-3.2,50.58246620031137,,,,,,,,,,,,,,,,,50582.46620031137,0.05058246620031137,2674.9741415799886,,,,460000000.0,Literature,detected_mass,,,literature,,,,,,,,460000000.0,,,,,,,1500,,Nubecula Major,Irr,True,,,True,True,True,,509.29127600929064,-179.8604565060661,50.205804295248896,806.3770389857917,,,,509.29127600929064,-179.8604565060661,50.205804295248896,806.3770389857917,50.205804295248896,806.3770389857917,509.29127600929064,-179.8604565060661,509.29127600929064,-179.8604565060661,50.205804295248896,806.3770389857917,509.29127600929064,-179.8604565060661,50.205804295248896,806.3770389857917
16,TucanaV,23.0,37.0,24.0,-63.0,16.0,12.0,9.999,18.71,0.34,0.34,477.2,17.1,0.5,0.5,30.0,0.7,99.9,92.0,0.3,0.3,3.4,1.2,-0.8,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,18.71,"- not seeing one, Conn et al. 2018 says chance could be grouping of stars assoc with SMC",,,-4.5,55.20774392807573,,,,,,,,,,,,,,,,,55207.74392807573,0.05520774392807573,16.0592666505929,-30.0,130.0,,388.42373747819016,HI4PI,upper_limit,0.018000000000000002,1.0,hi4pi_no_velocity,,,,,,,388.42373747819016,,,,,,,0.018000000000000002,,,,,True,,,True,True,True,,501.373061738976,-178.88610914081391,52.108450986883106,794.9159297243598,,,,501.373061738976,-178.88610914081391,52.108450986883106,794.9159297243598,52.108450986883106,794.9159297243598,501.373061738976,-178.88610914081391,501.373061738976,-178.88610914081391,52.108450986883106,794.9159297243598,501.373061738976,-178.88610914081391,52.108450986883106,794.9159297243598
17,Tucana2,22.0,51.0,55.1,-58.0,34.0,8.0,9.999,18.8,0.2,0.2,284.6,15.0,0.1,0.1,107.0,0.39,99.9,30.0,1.66,1.11,5.6,4.3,-2.1,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,18.8,"- Walker et al. 2016, v_hel= -129 km/s, disp ~ 8.5 km/s",,,-2.4,57.54399373371572,,,,,,,,,,,,,,,,,57543.993733715724,0.05754399373371572,164.54293023123424,,,,211.79024266227847,HI4PI,upper_limit,0.009033846153846154,2.7,hi4pi_resolved_undetected,13.0,,,,211.79024266227847,,,,,,,0.009033846153846154,,,,,,,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,
18,SagittariusII,19.0,52.0,40.5,-22.0,4.0,5.0,0.09699999999999999,19.13,0.15,0.15,-116.5,13.9,0.4,0.4,72.0,0.23,99.9,139.0,0.4,0.3,5.6,1.4,-1.4,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,19.13,"- not seeing anything,Laevens et al. 2015 discovery paper makes it sound like it could be a weird one again",,,-4.43,66.98846094165259,,,,,,,,,,,,,,,,,66988.4609416526,0.06698846094165259,38.972270200946895,-10.0,30.0,,635.4234721453141,HI4PI,upper_limit,0.02,2.0,hi4pi_no_velocity,,,,,,,635.4234721453141,,,,,,,0.02,,,,,True,,,True,True,True,,496.816975824816,-174.68891020975758,60.047394389108675,784.3329275575227,,,,496.816975824816,-174.68891020975758,60.047394389108675,784.3329275575227,60.047394389108675,784.3329275575227,496.816975824816,-174.68891020975758,496.816975824816,-174.68891020975758,60.047394389108675,784.3329275575227,496.816975824816,-174.68891020975758,60.047394389108675,784.3329275575227
19,SMC,0.0,52.0,44.8,-72.0,49.0,43.0,0.419,19.03,0.12,0.12,38.1,2.2,0.2,0.2,999.9,9.99,99.9,118.0,9.99,9.99,7.5,1.6,-1.6,0.0,0.0,0.0,460.0,x,u,22.0,2.0,2.0,60.0,,19.03,,,,-8.0,63.97348354826482,,,,,,,,,,,,,,,,,63973.48354826482,0.06397348354826482,1105.381404339155,,,,460000000.0,Literature,detected_mass,,,literature,,,,,,,,460000000.0,,,,,,,460,,Nubecula Minor,dIrr,True,,,True,True,True,,515.7702828495214,-168.72645657233107,61.37938982097806,805.6070679926459,,,,515.7702828495214,-168.72645657233107,61.37938982097806,805.6070679926459,61.37938982097806,805.6070679926459,515.7702828495214,-168.72645657233107,515.7702828495214,-168.72645657233107,61.37938982097806,805.6070679926459,515.7702828495214,-168.72645657233107,61.37938982097806,805.6070679926459
