,GalaxyName,ell_surf_dist,r_per_mean,r_per_median,r_per_std,r_per_err1,r_per_err2,v_per_mean,v_per_median,v_per_std,n_halo_peri,n_halo_peri_err1,n_halo_peri_err2,r_apo_mean,r_apo_median,r_apo_std,r_apo_err1,r_apo_err2,v_apo_mean,v_apo_median,v_apo_std,n_halo_apo,n_halo_apo_err1,n_halo_apo_err2
1,TucanaIII,-208.30470891633556,2.687072355035318,2.678438975457728,0.2968930740206526,0.30396312994932106,0.2990341712622082,528.4898724299518,528.4882839184606,9.843028303733947,4.630677703543865e-07,4.179072557448652e-07,8.969497458838743e-07,36.90427426606299,36.877003226548936,1.843483541024512,1.830763206896528,1.745390431430586,36.93955225569278,37.089534246012036,3.743090269139654,9.774080315062322e-05,8.900940415701896e-05,0.0001771765580035613
0,SagittariusdSph,-211.75692827477158,15.410785473367605,15.387080949469302,1.6084209729654064,1.55900203696614,1.5595601740053784,358.1088461548053,357.0014044504946,7.187675873654529,0.00037488135822955684,4.919104439510388e-05,5.0383385512962565e-05,53.0078627390412,51.34609354713739,11.895713239110147,9.282125956360254,12.227628651642144,104.53611713455368,105.27822571819121,8.764285753829832,0.004338470472258122,0.0007530949549534384,0.00104150811469755
6,TriangulumII,-227.0856212001577,17.76320920427826,17.56640343375894,3.1202011180265603,2.1235441926460155,2.160148555360159,425.4646668091629,425.7329098315613,8.25374405959071,6.001574776083862e-06,5.335229952600486e-06,1.0321726663776255e-05,151.6138877092067,144.34331120832312,35.16874195640728,23.339451663364255,37.122021027620114,50.01489001164639,50.88092426426144,4.744588987065294,0.0004386348306556734,0.0003883927482101446,0.0007631701619657532
10,Willman1,-194.0092537705053,22.486060747694612,18.817460656562947,12.297274748474006,6.9559265984808345,15.935805384000751,311.97330908498697,310.2831548547198,56.02595420814917,7.455683357908858e-05,5.419265092799751e-05,0.00010830089801542591,47.26218851768341,43.42156272296725,31.99809527053464,7.426870355834154,8.868175763627193,138.09481598216328,138.4453012039151,33.728637507989674,0.00038037104867415,0.00028378731785134976,0.0006760557216659343
3,Segue1,-202.98532303726975,18.64205485403816,18.918731002573406,4.941686970006018,5.578620500845879,4.856660306693024,324.2666765129225,318.7945440380082,18.46306368541107,5.3552233936490945e-05,1.9705638166402767e-05,2.4546367659460024e-05,46.368447523135316,41.94907580934786,16.038689402779447,7.714006044637401,15.921847568523107,129.12252464343135,132.66611889424604,12.013673646180756,0.0003276297763213548,0.00011746729014865825,0.0001751775342102728
2,DracoII,-213.92402692582775,20.01653887704675,20.00593284428919,0.7589258270484732,0.6991487470176914,0.7155602539017423,380.89035383355383,380.13600254910006,15.64401146430225,2.008235173550042e-05,1.803691955427852e-05,4.025462137234847e-05,102.489786610892,97.20549554351828,28.013692798031524,18.441742478794783,26.11057240558318,77.31424383357182,77.7773756655736,12.929979281161067,0.0005211927520343307,0.0004602045206877115,0.0009592863734034176
132,HydrusI,-204.25862480419164,25.22819862548528,25.245834659037623,0.5291850544820674,0.5619875431856514,0.4900978417690176,371.77887693140747,372.5291387925052,10.122733828763263,1.927528429653149e-05,6.853943384960037e-06,8.83097220179095e-06,129.77172250573886,127.02257581206189,24.7929190793704,20.956460732543604,25.92013681101571,73.94905318796094,73.69745971950866,9.908037678841302,0.0004943176905378838,0.0001865064174507726,0.00026716682694982144
4,Reticulum2,-200.00245088360666,25.4981523479432,25.732681397631932,3.1601570780665367,3.3772849709654587,2.9465405707021897,298.91115777705903,297.3596668753233,5.57180152262868,4.447613297259381e-05,3.154812763700094e-05,5.301417149295087e-05,54.96079538209652,53.459432042504126,10.559842570925571,8.457136554619254,11.336070110047288,138.96566387683504,141.17419420493655,7.396404126870147,0.00020708421878301564,0.00014581500119889286,0.00024680195059454985
133,CarinaII,-193.0286086697853,27.371708061779927,27.41712719500745,1.413066122303546,1.4958882266221283,1.3712283122960829,396.5918797511948,396.11021843905604,6.008450626325548,2.5976713266496285e-05,1.5650782211623715e-05,2.152975044254133e-05,226.36164167659646,215.98905036440325,55.40831206941343,40.83337987838297,61.05659276411743,49.882155584005154,50.33052199294129,7.6370174864981815,0.0016542359420320429,0.0010381127361740296,0.0016861618483620664
134,CarinaIII,-200.94364301214446,28.76571366063748,28.771193004869303,1.315046040822208,1.3621836958005495,1.2658293467230592,393.54344131390195,393.31927348986886,28.16017029075098,8.549826628600247e-05,7.145981059548744e-05,0.00014868467846010228,288.2754293430329,227.12781293566917,185.01215752108465,90.03091017765539,226.75830108898285,61.51726083350081,55.847230654224674,28.095469658153824,0.003703316166463218,0.003150140973103097,0.010405857686208423
135,CraterII,-132.6047458522784,30.398898157537694,29.21398586838536,11.991638666811069,10.40337251225781,12.730221634444044,359.18142374595436,354.69996420536535,48.93557613560422,2.0905779192546132e-05,5.9481831441164636e-06,9.306994623782738e-06,127.49466033040842,127.15632203844221,7.419114092357562,6.193764860809964,6.749870977691742,80.57794404507244,81.65960705970691,19.23408637185437,0.00041066624354279895,0.0001583213172581064,0.00036108414602680335
17,TucanaII,-177.87714705354165,36.42751219605295,32.822301602571386,14.053304894300414,8.89625982438164,25.880955352149503,351.81715471359894,352.6446955712496,18.104327659289886,0.00024084563005073335,0.00018672376053271853,0.0002873228850248057,195.25023082157207,149.1719372242959,133.66292611269515,45.55267711551281,126.15835730248592,73.57954040310227,76.56188867139286,14.96132394570236,0.005409925555471965,0.004190224010984222,0.008357014325379159
9,SegueII,-222.1525043146512,33.62908862519057,33.85722924833574,5.608420799106652,6.218161579748858,5.4888327397831285,274.6555096789819,271.65054019012143,10.608785819538957,6.553384311190252e-05,5.08753563268653e-05,0.00010802909843197884,62.025489831218145,56.58191538815911,19.77026740308277,9.247404595897123,19.742889085283412,151.75881906576626,156.51030899078174,13.575776931581963,0.00021429755238451122,0.00016911423077527844,0.000367728275362513
21,Draco,-179.75617102626418,34.59218673492471,34.19025837101428,6.866329068099764,6.473091146225593,7.129432519140615,314.26658958448206,313.1347856935721,19.381498533730667,0.0003126180299573184,8.696151478736528e-05,9.908995655490328e-05,96.77070456542809,96.29567763894251,10.045309743019038,8.817701762363015,10.314839348893685,110.37372488642777,111.23646159617168,8.087615685474395,0.002495544770287823,0.0006417268650530299,0.0009101910977380699
22,UrsaMinor,-175.3208791026536,34.8874348322058,34.686959873585074,5.2307825713606055,4.965396994323925,5.543111924312662,305.3416774813581,304.0158481852565,17.212139518453633,0.00035221751366716717,8.676018512716763e-05,0.00011017575962165768,88.91808629534742,88.60585284892821,4.77203630825644,4.2905258766229215,4.904814636003678,118.25636043041744,118.92213410700424,8.617125113258668,0.0023422568903507038,0.0005999759303188309,0.0007948195607672778
35,Hercules,-105.12268964112104,40.34554513584903,35.52600928408433,26.78901252110445,21.892506966717026,32.59261741373569,388.1576179134816,365.57547677041254,80.2504492587267,3.466555315335496e-05,1.7406960256963503e-05,2.8164321234192604e-05,264.21157749386447,224.15283082338416,113.68071266351747,30.515019228782702,100.29025478891823,55.48321249569057,58.59555174211201,25.205503512931212,0.0017103898461109455,0.0009517160715055668,0.0030793067480245013
20,Bootes,-166.2643825101499,38.40223622572957,38.275284720533534,8.751368278912988,8.734404195998463,9.428747788767216,295.2459313377988,289.01267270890287,20.249053222587925,2.3534108991919533e-05,1.4644804032167575e-05,2.1932913482344586e-05,89.81367506654169,85.77433918267705,16.004651831183168,8.537367295430627,16.83243715000815,123.9317624306357,125.80607085429384,8.619607964005695,0.00013301060119420388,8.296881411450606e-05,0.00013130620426956917
7,UrsaMajorII,-205.00631443500924,38.847441696006534,38.95185684444118,2.8204782756067313,2.7727726424406707,2.6856155147868748,299.7106989253502,297.5571150379934,20.19468551228286,0.00018292199063451683,6.950371992448301e-05,9.712813617045407e-05,109.39879868760616,97.9287484694912,47.893649818489536,26.799801341459,47.498413889326045,116.70050400987472,118.1992270759236,24.896717169356297,0.0011670871853451796,0.00048365766060771775,0.0011237090966930157
8,BootesII,-190.65136458646148,38.94346097435874,39.19551239845618,2.008014801996526,1.5934333812136003,1.3924459787982642,401.4040970344335,397.4365472134418,66.25042537556276,0.00029717682690842424,0.00024217499356591436,0.0005380066644651179,612.8047251353225,547.734836821533,435.56086869417777,392.3067453088798,560.3876653056386,132.7464224996199,106.8750590173041,86.70986032451273,0.0034503310676984684,0.003055126301415805,0.017961664358379873
11,ComaBerenices,-185.32286806141568,42.778809825203005,42.855430093817475,1.797829423405617,1.8050421650811683,1.6280787077931222,284.60694852947466,282.9568165024696,24.033264222089567,9.572350487715987e-05,3.190639425962353e-05,4.408032886981568e-05,104.9200144161798,94.3336302155192,45.412315371947756,24.48984699246652,43.05810058055675,126.75487420628966,128.2922910542015,27.204994210825987,0.00047525918777466535,0.00019862624512264132,0.0004076171968352383
27,Sculptor,-163.7386818162248,60.069444927507426,60.0696340440343,5.985582963413598,5.815532798632012,5.72821448463263,259.7915786188533,258.2676285859897,6.208400535690327,0.000460905271998138,0.00012957312781810025,0.00015660574805648745,119.08643690552114,117.34947123361349,12.166714937832005,9.3844622623419,12.416702119541466,130.7486378942606,131.25461952738385,3.7229504398779647,0.0018191262901335128,0.0005120934929179163,0.0005975936185975937
28,Sextans,-141.91059584994937,76.76957329239984,77.24209285483869,7.80769469627016,8.264363640532949,7.381011355898948,269.53824926455104,267.10283531158194,11.90509268753467,0.0003130587584485392,0.00010370633622425009,0.00012128709531171045,228.33913301979945,205.1343654051347,90.16519267069864,53.49550563106853,103.61909236890152,99.46070881250134,100.80602136811834,18.34828106881076,0.002300514832075617,0.0009172073993675926,0.0018558959403137789
24,Horologium1,-153.23698297398394,74.95985860344237,80.12615271692637,18.330106249227327,23.956760879688357,10.55539856722656,255.21320310493672,244.87703330507983,35.72603096435265,0.00014944380831654223,0.00011508427879649968,0.00022135784463721557,206.48649818059292,132.63336100749905,181.30688927422528,48.86155867107776,217.7869655300136,129.22637578186072,135.12238117090195,32.94804035875693,0.0005606927778642946,0.0004208357161844648,0.0011416749377636125
37,Fornax,-103.10357211327023,82.22244450700225,80.4408084867608,28.670402487562914,28.39715326303295,32.50956925476385,249.7353963960326,241.52479178756576,41.947725743822154,0.0008678752769600626,0.0002848653600722998,0.0003357946242792527,158.06007764599906,151.6741070578491,22.285089098739398,5.648422454047619,13.955077943563113,122.05741339190494,126.16101561124356,17.954226707891603,0.0033120918795763185,0.0008038525263401918,0.0015314371783778323
34,Carina,-123.10262193220134,84.33716268399345,85.09475939914508,19.61910865796368,22.52126351744909,21.322411241710952,217.0211900543054,210.6615909533407,26.84567446241172,0.0003522086412974088,0.00013087725518486377,0.00016749225749736592,112.363559586363,106.55263440769615,18.85456643662806,4.022860463211018,13.347858741364787,159.21827818578038,161.98389369078228,16.09376238955586,0.0006526090789408745,0.00023634595918377242,0.0002792090708431831
31,UrsaMajor,-142.40634427056784,100.2324919094167,101.83536999977328,10.201279069168633,7.363389754492999,5.856549621578496,272.832375967678,267.8121898822594,47.165794206989524,0.0002935589520726314,0.00010826211873345474,0.00015191173494034932,436.137024325628,368.22397583049934,278.12201359994344,213.86193742496715,379.6877834625556,121.50541866248292,111.56990770727795,44.0570798173184,0.0016190051372005215,0.0008835606170057242,0.0019462974126823586
136,AquariusII,-168.9817075841163,96.93696014691861,103.30287333026428,20.505589982823906,7.75337092117087,4.174875144314967,448.97847815564626,418.75758059413863,171.75498922405984,6.0656465385274585e-05,5.017031301155064e-05,0.00015900736369253856,1294.8639295687715,1238.5454468877906,915.2811171672713,1059.8260246986358,1039.6067628438816,316.8992510933406,276.9230090424842,205.9536427492437,0.0001421437316969263,0.00012170561318819719,0.0010511873128991463
47,LeoI,27.293614889201926,107.79345748494372,103.6149098152725,61.11639839429943,65.60804120582111,69.8202371089945,343.82866069279214,317.41083004265937,68.80817759094202,0.0002839837955191426,0.0001183786173357491,0.00014225696446321247,588.3709376611264,527.0583852480145,147.25966468386798,27.75675427302656,149.57125147065608,145.4627728380362,138.97714482220726,48.16745056585373,0.001609437553410544,0.0008073254212991068,0.0016526966450749164
32,GrusI,-119.85250344251264,113.06230445156557,116.35483016325816,21.049345239624856,12.264029112530393,10.84277282446088,350.7047030727299,341.7160689145711,79.13384750306399,7.50579524396004e-05,6.849997575792339e-05,0.00014353182018234822,948.6384134169352,938.1900292806116,449.56655506579386,499.274192497935,449.37384057054845,182.90355507497438,173.50014371383872,115.58612277629166,0.00026919064657070793,0.0002389415285147229,0.0024126706170366284
36,HydraII,-138.20638500644344,126.44196179196423,137.43719569003218,32.087257028760355,29.913808097267488,10.46426199939927,519.809201029226,449.58663338395286,235.2763298154185,5.340535354435728e-06,4.757922167515416e-06,1.5163680372510091e-05,1663.2945777685406,1450.737045238582,1168.7006677768916,1006.1015538591906,1396.5224293041188,398.07902171297485,345.5787048045877,289.4666827231194,1.0401085400236834e-05,9.52258124484017e-06,9.16676614801874e-05
45,CanesVenatici(I),-14.798888599180415,127.92219206352873,141.62259960551796,55.4375789319255,80.984502955989,44.916401913899506,272.35073449073207,248.93431783624825,62.40404707263848,0.0003430450663906446,0.00013726748286787857,8.1163363822281e-05,398.0387116496682,328.8684578843354,175.8749091788647,69.32362600401979,237.79071074304898,106.29294821282568,106.52027082110436,39.2690845469257,0.0019221112243521434,0.0007306092386370634,0.0021932777827409033
38,LeoIV,-82.04581809525409,148.84904855963532,154.59191151672115,24.406475688690023,6.1355217006395995,4.764071617550428,543.6068767953977,505.3643415026928,254.57931859987488,1.6180309702683127e-05,1.2703712710773033e-05,4.179324684891326e-05,1891.104757846352,1796.8583298661015,1193.2399355552259,1215.6274689940585,1316.572154117131,457.4344171049535,424.5890391403514,284.2631694283507,2.346146277352746e-05,1.9053709120927318e-05,0.00015638125340622258
39,CanesVenaticiII,-71.51615496478067,141.81184777831555,159.3101178007503,41.448863907722405,66.77332382178935,5.286639243653326,321.6955440817849,301.9499677248316,95.93077114339765,8.278129010708841e-05,4.407638183582403e-05,8.126368662173985e-05,824.7281839451716,754.6960047764583,531.4903316382621,519.8492539051178,627.0853771974982,181.1567531351311,135.35626111184627,118.16089778546278,0.000401136680819246,0.00032111473342522816,0.0009198585621295524
46,LeoII,5.820328499724409,150.0328218157859,169.33180398570966,78.03324263291425,118.52433925289067,60.70366860101467,250.79707464818063,224.75043151121574,84.68444807920359,0.00030744622096328284,0.00017213954607727804,0.00022331632277825298,342.93037346540365,242.19712491049745,209.84282924378175,22.400672725549104,271.86292836193843,115.96909887926421,120.71117784566928,43.390804611532545,0.0011248384900471834,0.0003942211203256882,0.0018487380152957546
40,LeoV,-57.95097971138723,166.81118917725198,171.92000237036194,23.6831109873007,6.3503225651532205,5.5947375326909725,570.2278030671588,544.3603460270606,255.70478498092706,1.9110509014293285e-05,1.5661537393769415e-05,5.117446231768612e-05,2038.742111927344,1991.775843354704,1182.5503392788096,1205.6111812330146,1168.6847782568625,492.032626522361,475.98803935400116,286.1765088983633,2.5605948181574953e-05,2.142769119273544e-05,0.0001468418539182824
41,PiscesII,-157.7169398273358,179.34897594634916,182.67727289798202,26.95009840605068,16.779727581691873,15.664730044974249,736.3543021390134,664.4845673056642,380.73458883646344,2.337674068174769e-05,1.9140176056265273e-05,7.854072863423466e-05,2806.9594725181128,2559.686589931128,1669.0125665391595,1434.511218905381,1880.5619473906354,670.6174154899148,610.9444895945118,412.16805520264916,2.9465606108264862e-05,2.442487008042909e-05,0.0001520759729122361
86,EridanusII,136.24528021661624,364.5789674297038,364.4014174710518,16.72273289894367,16.719015198385648,17.35518194616816,985.6556988934624,913.872523899268,483.45763045592275,2.047098135560332e-05,1.2461354678559512e-05,5.054123653105458e-05,3997.7141533864174,3702.3162416397277,1981.2186118134894,1688.4170143793613,2305.483227269318,959.4598396867532,891.115522005477,494.51477522619905,2.1615800110240742e-05,1.3436928040113835e-05,6.145622058997936e-05
85,Phoenix,154.90389805849637,419.69433752062713,419.7505580427571,19.092552198673772,18.417930286230785,18.348414329505765,321.6952739119226,294.170893285449,147.40979142146003,0.0003717333647857248,0.0002179878728791098,0.0005941325354931136,1390.937910865883,1264.4558861730106,566.079990208576,404.21365160534066,633.9904342028346,272.66918605259673,246.7541906265654,160.53668507931738,0.0005347760879738188,0.0003531960174258844,0.00185086756458492
