id,GalaxyName,RA_hr,RA_min,RA_sec,Dec_deg,Dec_arcmin,Dec_arcsec,EB-V,m-M,m-M_err,vh(km/s),Vmag,Vmag_err,PA,e=1-b/a,muVo,rh('),rh_err_pos,rh_err_neg,vsig_s,vsig_err,vrot_s,vrot_s_err,MHI_mcconnachie,Data,Key,vsig_g,vsig_g_err,vrot_g,Notes,dist_kpc,MHI_computed,MHI_source,MHI_type,1sigma,notes/image/limit,r_ell_m1.2_rs15,ell_surf_dist_m1.2_rs15,r_ell_m1.0_rs20,ell_surf_dist_m1.0_rs20,r_ell_m1.5_rs15,ell_surf_dist_m1.5_rs15,r_ell_m1.0_rs25,ell_surf_dist_m1.0_rs25,r_ell_m1.0_rs15,ell_surf_dist_m1.0_rs15,r_ell_m1.5_rs20,ell_surf_dist_m1.5_rs20,r_ell_m1.5_rs25,ell_surf_dist_m1.5_rs25,r_ell_m1.2_rs25,ell_surf_dist_m1.2_rs25,r_ell_m1.2_rs20,ell_surf_dist_m1.2_rs20,mw_dist,m31_dist,r_per,r_per_err,r_apo,r_apo_err,rho_cgm_est,rho_cgm_est_err
12,Willman1,10,49,21.0,51,3,0,0.014,17.9,0.4,-12.3,15.2,0.7,77.0,0.47,26.1,2.3,0.4,0.4,4.3,2.3,99.9,99.9,0.0,x,u,0.0,0.0,0.0,,38.01893963205608,198.28331740886063,hi4pi,upper_limit,0.0193755,1/2 off cube. Check cube H09,487.3162123797779,-217.7728339625831,524.2999970272303,-182.34619425967304,454.57644983376093,-233.97188711668443,523.4612512626786,-172.72137974752403,525.4684145867019,-192.67797771282295,452.9797694230053,-230.0770351855507,451.8340518867811,-226.4431517461438,484.9062475239717,-205.59625799092052,485.91304568326706,-211.4595067297975,42.850896520395686,776.2304984992603,23.14109837225552,13.274875498875677,52.262167523494256,68.4380215570517,2.470583708299484e-05,1.4193077933325005e-05
13,ComaBerenices,12,26,59.0,23,54,15,0.017,18.2,0.2,98.1,14.1,0.5,115.0,0.38,27.3,6.0,0.6,0.6,4.6,0.8,0.0,0.0,,gs,u,0.0,0.0,0.0,"188+26s.mir stdev 0.04K so same limit of 0.02 Jy (towards edge, but looks clear, same with baseline but 0.2K source would be booming) 0.02*10*.236*44^2 = 100 Msun",43.65158322401656,,,upper_limit,0.0125446,ok for hi4pi value,509.04813961864403,-210.89011289072687,546.1312648126556,-172.00960719459803,476.22569859840223,-228.1596000497203,545.3074343547438,-160.9772931691084,547.2790297082815,-183.82128048257593,474.6664880069495,-223.45278051985312,473.54788811868286,-219.0679050482834,506.68798758178383,-196.7143307814599,507.6738865559113,-203.54472621622403,44.859187695166824,798.2429702735473,42.787761807819805,1.717747299918837,142.96476589847185,76.55866613902438,2.7987264330545626e-05,1.2024882682725279e-05
14,TucanaIV,0,2,55.2,-60,51,0,9.999,18.41,0.19,999.9,14.9,0.3,11.0,0.4,99.9,9.1,1.7,1.4,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,- not seeing anything for this one,48.08393484497285,163.69418714443208,hi4pi,upper_limit,0.01,no velocity,501.9820645712286,-210.99674799718292,538.5996832238012,-173.75626561378016,469.41227150476664,-227.77885288719844,537.6552672433777,-163.42293540605655,539.9150634382396,-184.85209375362797,467.62363900934395,-223.44237257460992,466.33985280807605,-219.404510709565,499.2755126636864,-197.7588042525484,500.4063621643551,-204.1314712393986,45.56770474070074,789.3892806591396,,,,,,
15,BootesIII,13,57,12.0,26,48,0,0.021,18.35,0.1,197.5,12.6,0.5,90.0,0.5,31.3,99.99,9.99,9.99,14.0,3.2,99.9,99.9,99.9,x,u,99.9,99.9,999.9,212+26s.mir stdev 0.04K again so 0.02 Jy,46.77351412871986,17.091379999999997,galfa,upper_limit,0.0379234,"pull hi4pi value, missing rh - huge, prob part of styx stream (Carlin & Sand 2018), quote core limit",507.8437356779723,-210.0012818356697,544.6720945191166,-171.611720473565,475.15530841728133,-227.13129025653782,543.7806484766788,-160.7988460608543,545.9138715946824,-183.20494618150136,473.4687189603368,-222.53043171233662,472.25844722929884,-218.24630800213694,505.29032063748355,-196.10237518819707,506.3570729962749,-202.79632377749883,45.78898889152397,796.0456457642614,,,,,,
16,GrusII,22,4,4.8,-46,26,24,9.999,18.62,0.21,999.9,14.7,0.2,999.9,9.99,99.9,6.0,0.9,0.5,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,- not seeing one,52.966344389165805,397.24940313396297,hi4pi,upper_limit,0.02,no velocity,498.93591782187525,-209.58468967621442,535.0195903060973,-173.3595327302646,466.6504508282857,-226.0686277894703,533.9348456894209,-163.46571528742547,536.5299255485074,-184.01004724891965,464.59730251960406,-221.95732236644264,463.12290770783886,-218.13163358565777,495.8281375870147,-196.92378995398334,497.1269464183581,-203.01384280322793,48.36965635432141,784.2695078691785,,,,,,
17,LMC,5,23,34.5,-69,45,22,0.9259999999999999,18.52,0.09,262.2,0.4,0.1,999.9,9.99,99.9,99.99,9.99,9.99,20.2,0.5,49.8,15.9,460.0,x,u,15.8,0.2,63.0,,50.58246620031137,460000000.0,various,detected_mass,,,518.3924410001853,-206.06620627020754,555.1790764880953,-166.01482808028254,485.71051069348636,-223.70952033756743,554.2706603057164,-154.5297699131931,556.4444934465547,-178.3204092541193,483.99674790205444,-218.7160881608508,482.76699954397634,-214.0691128599935,515.7942130422997,-191.2023366660102,516.8796820656155,-198.36273572238628,50.2122315156281,806.377038985792,,,,,,
18,TucanaV,23,37,24.0,-63,16,12,9.999,18.71,0.34,999.9,17.1,0.5,30.0,0.7,99.9,1.0,0.3,0.3,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,"- not seeing one, Conn et al. 2018 says chance could be grouping of stars assoc with SMC",55.20774392807573,388.42373747819016,hi4pi,upper_limit,0.018,no velocity,510.9640263712669,-203.9775859525115,546.7162788955363,-166.28360954652806,478.82875317194623,-220.9354491726741,545.5344580713181,-155.8219255402607,548.361513805349,-177.55123047058197,476.6009639336053,-216.46397080700248,475.00080596795004,-212.3093969960655,507.5851237094519,-190.4545438427641,508.9973994037385,-196.95775079632952,52.05265391508569,794.9159297243599,,,,,,
19,Tucana2,22,51,55.1,-58,34,8,9.999,18.8,0.2,-129.0,15.0,0.1,107.0,0.39,99.9,9.83,1.66,1.11,8.5,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,"- Walker et al. 2016, v_hel= -129 km/s, disp ~ 8.5 km/s",57.54399373371572,2753.27315460962,hi4pi,upper_limit,0.11744,"josh method, needs fixing",509.9844940675367,-202.70689215068597,545.3414813016832,-165.5701628461876,478.0560073278147,-219.5040088608864,544.0544386095467,-155.3528356441391,547.1327733156213,-176.59173420939032,475.63179121566714,-215.15419896949405,473.88991248726387,-211.11492503246086,506.3062170949318,-189.4993350749763,507.84389224159503,-195.84751464451287,53.72355915842536,792.3837319452169,43.138624661727484,15.365301683485598,305.21824079928297,220.97794343988406,6.884411343621464e-05,2.8896520450539733e-05
20,SagittariusII,19,52,40.5,-22,4,5,0.09699999999999999,19.13,0.15,999.9,13.9,0.4,72.0,0.23,99.9,2.0,0.4,0.3,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,"- not seeing anything,Laevens et al. 2015 discovery paper makes it sound like it could be a weird one again",66.98846094165259,635.4234721453141,hi4pi,upper_limit,0.02,no velocity,507.23537332564405,-198.75027687181256,541.2465792982584,-163.3031896803639,476.01167043484384,-215.05194207819557,539.6018161288623,-153.81470700605087,543.5338902031614,-173.58424310658893,472.9225780588667,-211.0756831294422,470.7002209661237,-207.3889114325156,502.5415536766161,-186.5025953065484,504.50494456093054,-192.3805176544336,59.89860112013722,784.3329275575228,,,,,,
21,SMC,0,52,44.8,-72,49,43,0.419,19.03,0.12,145.6,2.2,0.2,999.9,9.99,99.9,99.99,9.99,9.99,27.6,0.5,0.0,0.0,460.0,x,u,22.0,2.0,60.0,,63.97348354826482,460000000.0,various,detected_mass,,,525.959487713086,-194.44756258596107,560.653170340052,-155.55684141064987,494.3382857334716,-211.82008025494335,559.1742655838469,-144.68147877709046,562.7108118728773,-167.30854815169374,491.56844792775513,-207.0305744401987,489.57730748217926,-202.59225231991633,521.7450837914357,-180.20182110873296,523.5072963154569,-187.04508396833742,61.333354576129175,805.607067992646,,,,,,
