# 		      cubename        cra       cdec     min_ra     max_ra    min_dec    max_dec
GALFA_HI_RA+DEC_100.00+34.35_W     100.00      34.35      95.74     104.26      30.09      38.00
GALFA_HI_RA+DEC_108.00+02.35_W     108.00       2.35     103.74     112.26      -1.34       6.61
GALFA_HI_RA+DEC_108.00+10.35_W     108.00      10.35     103.74     112.26       6.09      14.61
GALFA_HI_RA+DEC_108.00+18.35_W     108.00      18.35     103.74     112.26      14.09      22.61
GALFA_HI_RA+DEC_108.00+26.35_W     108.00      26.35     103.74     112.26      22.09      30.61
GALFA_HI_RA+DEC_108.00+34.35_W     108.00      34.35     103.74     112.26      30.09      38.00
GALFA_HI_RA+DEC_116.00+02.35_W     116.00       2.35     111.74     120.26      -1.34       6.61
GALFA_HI_RA+DEC_116.00+10.35_W     116.00      10.35     111.74     120.26       6.09      14.61
GALFA_HI_RA+DEC_116.00+18.35_W     116.00      18.35     111.74     120.26      14.09      22.61
GALFA_HI_RA+DEC_116.00+26.35_W     116.00      26.35     111.74     120.26      22.09      30.61
GALFA_HI_RA+DEC_116.00+34.35_W     116.00      34.35     111.74     120.26      30.09      38.00
GALFA_HI_RA+DEC_124.00+02.35_W     124.00       2.35     119.74     128.26      -1.34       6.61
GALFA_HI_RA+DEC_124.00+10.35_W     124.00      10.35     119.74     128.26       6.09      14.61
GALFA_HI_RA+DEC_124.00+18.35_W     124.00      18.35     119.74     128.26      14.09      22.61
GALFA_HI_RA+DEC_124.00+26.35_W     124.00      26.35     119.74     128.26      22.09      30.61
GALFA_HI_RA+DEC_124.00+34.35_W     124.00      34.35     119.74     128.26      30.09      38.00
GALFA_HI_RA+DEC_132.00+02.35_W     132.00       2.35     127.74     136.26      -1.34       6.61
GALFA_HI_RA+DEC_132.00+10.35_W     132.00      10.35     127.74     136.26       6.09      14.61
GALFA_HI_RA+DEC_132.00+18.35_W     132.00      18.35     127.74     136.26      14.09      22.61
GALFA_HI_RA+DEC_132.00+26.35_W     132.00      26.35     127.74     136.26      22.09      30.61
GALFA_HI_RA+DEC_132.00+34.35_W     132.00      34.35     127.74     136.26      30.09      38.00
GALFA_HI_RA+DEC_140.00+02.35_W     140.00       2.35     135.74     144.26      -1.34       6.61
GALFA_HI_RA+DEC_140.00+10.35_W     140.00      10.35     135.74     144.26       6.09      14.61
GALFA_HI_RA+DEC_140.00+18.35_W     140.00      18.35     135.74     144.26      14.09      22.61
GALFA_HI_RA+DEC_140.00+26.35_W     140.00      26.35     135.74     144.26      22.09      30.61
GALFA_HI_RA+DEC_140.00+34.35_W     140.00      34.35     135.74     144.26      30.09      38.00
GALFA_HI_RA+DEC_148.00+02.35_W     148.00       2.35     143.74     152.26      -1.34       6.61
GALFA_HI_RA+DEC_148.00+10.35_W     148.00      10.35     143.74     152.26       6.09      14.61
GALFA_HI_RA+DEC_148.00+18.35_W     148.00      18.35     143.74     152.26      14.09      22.61
GALFA_HI_RA+DEC_148.00+26.35_W     148.00      26.35     143.74     152.26      22.09      30.61
GALFA_HI_RA+DEC_148.00+34.35_W     148.00      34.35     143.74     152.26      30.09      38.00
GALFA_HI_RA+DEC_156.00+02.35_W     156.00       2.35     151.74     160.26      -1.34       6.61
GALFA_HI_RA+DEC_156.00+10.35_W     156.00      10.35     151.74     160.26       6.09      14.61
GALFA_HI_RA+DEC_156.00+18.35_W     156.00      18.35     151.74     160.26      14.09      22.61
GALFA_HI_RA+DEC_156.00+26.35_W     156.00      26.35     151.74     160.26      22.09      30.61
GALFA_HI_RA+DEC_156.00+34.35_W     156.00      34.35     151.74     160.26      30.09      38.00
GALFA_HI_RA+DEC_164.00+02.35_W     164.00       2.35     159.74     168.26      -1.34       6.61
GALFA_HI_RA+DEC_164.00+10.35_W     164.00      10.35     159.74     168.26       6.09      14.61
GALFA_HI_RA+DEC_164.00+18.35_W     164.00      18.35     159.74     168.26      14.09      22.61
GALFA_HI_RA+DEC_164.00+26.35_W     164.00      26.35     159.74     168.26      22.09      30.61
GALFA_HI_RA+DEC_164.00+34.35_W     164.00      34.35     159.74     168.26      30.09      38.00
GALFA_HI_RA+DEC_172.00+02.35_W     172.00       2.35     167.74     176.26      -1.34       6.61
GALFA_HI_RA+DEC_172.00+10.35_W     172.00      10.35     167.74     176.26       6.09      14.61
GALFA_HI_RA+DEC_172.00+18.35_W     172.00      18.35     167.74     176.26      14.09      22.61
GALFA_HI_RA+DEC_172.00+26.35_W     172.00      26.35     167.74     176.26      22.09      30.61
GALFA_HI_RA+DEC_172.00+34.35_W     172.00      34.35     167.74     176.26      30.09      38.00
GALFA_HI_RA+DEC_180.00+02.35_W     180.00       2.35     175.74     184.26      -1.34       6.61
GALFA_HI_RA+DEC_180.00+10.35_W     180.00      10.35     175.74     184.26       6.09      14.61
GALFA_HI_RA+DEC_180.00+18.35_W     180.00      18.35     175.74     184.26      14.09      22.61
GALFA_HI_RA+DEC_180.00+26.35_W     180.00      26.35     175.74     184.26      22.09      30.61
GALFA_HI_RA+DEC_180.00+34.35_W     180.00      34.35     175.74     184.26      30.09      38.00
GALFA_HI_RA+DEC_188.00+02.35_W     188.00       2.35     183.74     192.26      -1.34       6.61
GALFA_HI_RA+DEC_188.00+10.35_W     188.00      10.35     183.74     192.26       6.09      14.61
GALFA_HI_RA+DEC_188.00+18.35_W     188.00      18.35     183.74     192.26      14.09      22.61
GALFA_HI_RA+DEC_188.00+26.35_W     188.00      26.35     183.74     192.26      22.09      30.61
GALFA_HI_RA+DEC_188.00+34.35_W     188.00      34.35     183.74     192.26      30.09      38.00
GALFA_HI_RA+DEC_196.00+02.35_W     196.00       2.35     191.74     200.26      -1.34       6.61
GALFA_HI_RA+DEC_196.00+10.35_W     196.00      10.35     191.74     200.26       6.09      14.61
GALFA_HI_RA+DEC_196.00+18.35_W     196.00      18.35     191.74     200.26      14.09      22.61
GALFA_HI_RA+DEC_196.00+26.35_W     196.00      26.35     191.74     200.26      22.09      30.61
GALFA_HI_RA+DEC_196.00+34.35_W     196.00      34.35     191.74     200.26      30.09      38.00
GALFA_HI_RA+DEC_204.00+02.35_W     204.00       2.35     199.74     208.26      -1.34       6.61
GALFA_HI_RA+DEC_204.00+10.35_W     204.00      10.35     199.74     208.26       6.09      14.61
GALFA_HI_RA+DEC_204.00+18.35_W     204.00      18.35     199.74     208.26      14.09      22.61
GALFA_HI_RA+DEC_204.00+26.35_W     204.00      26.35     199.74     208.26      22.09      30.61
GALFA_HI_RA+DEC_204.00+34.35_W     204.00      34.35     199.74     208.26      30.09      38.00
GALFA_HI_RA+DEC_212.00+02.35_W     212.00       2.35     207.74     216.26      -1.34       6.61
GALFA_HI_RA+DEC_212.00+10.35_W     212.00      10.35     207.74     216.26       6.09      14.61
GALFA_HI_RA+DEC_212.00+18.35_W     212.00      18.35     207.74     216.26      14.09      22.61
GALFA_HI_RA+DEC_212.00+26.35_W     212.00      26.35     207.74     216.26      22.09      30.61
GALFA_HI_RA+DEC_212.00+34.35_W     212.00      34.35     207.74     216.26      30.09      38.00
GALFA_HI_RA+DEC_220.00+02.35_W     220.00       2.35     215.74     224.26      -1.34       6.61
GALFA_HI_RA+DEC_220.00+10.35_W     220.00      10.35     215.74     224.26       6.09      14.61
GALFA_HI_RA+DEC_220.00+18.35_W     220.00      18.35     215.74     224.26      14.09      22.61
GALFA_HI_RA+DEC_220.00+26.35_W     220.00      26.35     215.74     224.26      22.09      30.61
GALFA_HI_RA+DEC_220.00+34.35_W     220.00      34.35     215.74     224.26      30.09      38.00
GALFA_HI_RA+DEC_228.00+02.35_W     228.00       2.35     223.74     232.26      -1.34       6.61
GALFA_HI_RA+DEC_228.00+10.35_W     228.00      10.35     223.74     232.26       6.09      14.61
GALFA_HI_RA+DEC_228.00+18.35_W     228.00      18.35     223.74     232.26      14.09      22.61
GALFA_HI_RA+DEC_228.00+26.35_W     228.00      26.35     223.74     232.26      22.09      30.61
GALFA_HI_RA+DEC_228.00+34.35_W     228.00      34.35     223.74     232.26      30.09      38.00
GALFA_HI_RA+DEC_236.00+02.35_W     236.00       2.35     231.74     240.26      -1.34       6.61
GALFA_HI_RA+DEC_236.00+10.35_W     236.00      10.35     231.74     240.26       6.09      14.61
GALFA_HI_RA+DEC_236.00+18.35_W     236.00      18.35     231.74     240.26      14.09      22.61
GALFA_HI_RA+DEC_236.00+26.35_W     236.00      26.35     231.74     240.26      22.09      30.61
GALFA_HI_RA+DEC_236.00+34.35_W     236.00      34.35     231.74     240.26      30.09      38.00
GALFA_HI_RA+DEC_244.00+02.35_W     244.00       2.35     239.74     248.26      -1.34       6.61
GALFA_HI_RA+DEC_244.00+10.35_W     244.00      10.35     239.74     248.26       6.09      14.61
GALFA_HI_RA+DEC_244.00+18.35_W     244.00      18.35     239.74     248.26      14.09      22.61
GALFA_HI_RA+DEC_244.00+26.35_W     244.00      26.35     239.74     248.26      22.09      30.61
GALFA_HI_RA+DEC_244.00+34.35_W     244.00      34.35     239.74     248.26      30.09      38.00
GALFA_HI_RA+DEC_252.00+02.35_W     252.00       2.35     247.74     256.26      -1.34       6.61
